datetime;close;high;low;open
2018-08-03 09:50:00;207.39;207.39;207.39;207.39
2018-08-03 10:00:00;207.05;207.39;206.69;207.39
2018-08-03 10:10:00;206.64;207.24;206.62;207.04
2018-08-03 10:20:00;207.19;207.375;206.63;206.65
2018-08-03 10:30:00;207.01;207.2;206.79;207.2
2018-08-03 10:40:00;207.22;207.54;206.985;207.03
2018-08-03 10:50:00;206.62;207.235;206.56;207.22
2018-08-03 11:00:00;206.94;206.94;206.51;206.665
2018-08-03 11:10:00;207.14;207.41;206.92;207.005
2018-08-03 11:20:00;207.28;207.37;207.12;207.12
2018-08-03 11:30:00;206.96;207.29;206.95;207.29
2018-08-03 11:40:00;207.28;207.33;206.92;206.94
2018-08-03 11:50:00;207.04;207.3;207.0;207.26
2018-08-03 12:00:00;207.15;207.25;207.03;207.035
2018-08-03 12:10:00;207.77;207.95;207.14;207.14
2018-08-03 12:20:00;208.03;208.13;207.74;207.79
2018-08-03 12:30:00;208.43;208.44;208.06;208.06
2018-08-03 12:40:00;208.41;208.68;208.205;208.41
2018-08-03 12:50:00;208.43;208.44;208.15;208.37
2018-08-03 13:00:00;208.585;208.65;208.43;208.51
2018-08-03 13:10:00;208.61;208.67;208.45;208.55
2018-08-03 13:20:00;208.17;208.61;208.1;208.61
2018-08-03 13:30:00;208.23;208.23;207.8;208.18
2018-08-03 13:40:00;208.12;208.28;208.1;208.22
2018-08-03 13:50:00;208.23;208.32;208.125;208.13
2018-08-03 14:00:00;208.11;208.23;208.11;208.16
2018-08-03 14:10:00;207.78;208.18;207.74;208.17
2018-08-03 14:20:00;207.76;207.84;207.61;207.8
2018-08-03 14:30:00;207.565;207.82;207.55;207.765
2018-08-03 14:40:00;207.44;207.555;207.35;207.555
2018-08-03 14:50:00;207.48;207.52;207.35;207.43
2018-08-03 15:00:00;207.61;207.665;207.445;207.49
2018-08-03 15:10:00;207.81;207.82;207.6;207.6
2018-08-03 15:20:00;207.58;207.94;207.54;207.81
2018-08-03 15:30:00;207.56;207.72;207.53;207.59
2018-08-03 15:40:00;207.65;207.71;207.55;207.6
2018-08-03 15:50:00;207.96;207.97;207.68;207.83
2018-08-09 09:30:00;208.31;208.52;207.25;207.25
2018-08-09 09:40:00;208.3;208.66;208.33;208.375
2018-08-09 09:50:00;208.53;208.7;208.33;208.335
