datetime; open; high; low; close; volume; suspicious
34781000;2161700;2161700;2161700;2161700;208;0
34782000;2161690;2161690;2161690;2161690;100;0
34786000;2161750;2161750;2161750;2161750;23;0
34788000;2161700;2161700;2161700;2161700;100;0
34794000;2161700;2161700;2161700;2161700;1100;0
34795000;2161800;2161800;2161800;2161800;400;0
34798000;2162000;2162000;2161900;2161911;1957;0
34800000;2161900;2162300;2161900;2162300;2517;0
34806000;2162400;2162400;2162400;2162400;2;0
34810000;2162400;2162400;2162398;2162398;1500;0
34811000;2162356;2162356;2162300;2162300;300;0
34813000;2162300;2162300;2162300;2162300;300;0
34826000;2162100;2162100;2162100;2162100;200;0
34827000;2162099;2162099;2162099;2162099;200;0
34833000;2162100;2162100;2162100;2162100;100;0
34835000;2162200;2162200;2162200;2162200;100;0
34837000;2162200;2162200;2162200;2162200;1;0
34842000;2162000;2162000;2162000;2162000;100;0
34843000;2162000;2162000;2162000;2162000;13;0
34868000;2161933;2161933;2161933;2161933;24;0
34873000;2161974;2161974;2161974;2161974;4;0
34876000;2161900;2161900;2161900;2161900;500;0
34878000;2161999;2161999;2161999;2161999;70;0
34888000;2161800;2161800;2161700;2161700;700;0
34889000;2161300;2161300;2161300;2161300;135;0
34893000;2161100;2161100;2161100;2161100;100;0
34895000;2161000;2161000;2161000;2161000;100;0
34899000;2160800;2160901;2160800;2160901;900;0
34901000;2160800;2160800;2160800;2160800;300;0
34912000;2160900;2161000;2160900;2161000;902;0
34913000;2160901;2160901;2160901;2160901;2;0
34914000;2160900;2160900;2160900;2160900;1000;0
34921000;2161101;2161101;2161101;2161101;400;0
34927000;2161300;2161300;2161300;2161300;100;0
34935000;2161600;2161600;2161600;2161600;900;0
34938000;2161813;2161813;2161813;2161813;100;0
34944000;2161900;2161998;2161900;2161998;1146;0
34946000;2161900;2161900;2161900;2161900;400;0
34953000;2161760;2161760;2161760;2161760;99;0
34954000;2161700;2161700;2161700;2161700;600;0
34955000;2161699;2161699;2161600;2161600;700;0
34963000;2161688;2161688;2161688;2161688;200;0
34967000;2161699;2161699;2161699;2161699;6;0
34972000;2161800;2161800;2161800;2161800;100;0
