datetime; open; high; low; close; volume; suspicious
29135000;1424200;1424200;1424200;1424200;200;0
29321000;1424200;1424200;1424200;1424200;200;0
29356000;1424000;1424000;1424000;1424000;1;0
29364000;1424000;1424000;1423900;1423900;201;0
29393000;1423900;1423900;1423900;1423900;500;0
29396000;1423900;1423900;1423900;1423900;500;0
29400000;1423900;1423900;1423900;1423900;500;0
29414000;1423900;1423900;1423900;1423900;200;0
29438000;1423900;1423900;1423900;1423900;600;0
29440000;1423800;1423800;1423800;1423800;600;0
29444000;1424100;1424100;1424100;1424100;1;0
29471000;1424000;1424000;1423900;1423900;900;0
29472000;1423900;1423900;1423900;1423900;200;0
29529000;1423900;1423900;1423900;1423900;1;0
29549000;1423900;1423900;1423900;1423900;11;0
29588000;1424000;1424000;1424000;1424000;100;0
29649000;1424100;1424100;1424100;1424100;1;0
29675000;1424300;1424300;1424300;1424300;500;0
30080000;1424200;1424200;1424200;1424200;25;0
30086000;1424200;1424200;1424200;1424200;25;0
30095000;1423900;1423900;1423900;1423900;1;0
30156000;1423800;1423800;1423800;1423800;200;0
30247000;1424000;1424000;1424000;1424000;900;0
30251000;1424000;1424000;1424000;1424000;100;0
30253000;1424100;1424100;1424100;1424100;1;0
30286000;1423900;1423900;1423900;1423900;2000;0
30288000;1424100;1424100;1424100;1424100;400;0
30394000;1423900;1423900;1423800;1423800;2000;0
30410000;1423800;1423800;1423800;1423800;1000;0
30416000;1423900;1423900;1423900;1423900;409;0
30418000;1423900;1423900;1423900;1423900;409;0
30509000;1424000;1424000;1424000;1424000;200;0
30590000;1424000;1424000;1424000;1424000;800;0
30637000;1424000;1424000;1424000;1424000;49;0
30665000;1423700;1423700;1423700;1423700;900;0
30677000;1423700;1423700;1423700;1423700;1;0
30695000;1423800;1423800;1423800;1423800;500;0
30703000;1423600;1423600;1423600;1423600;200;0
30741000;1423500;1423500;1423400;1423400;3;0
30749000;1423100;1423100;1423100;1423100;1001;0
30753000;1423200;1423200;1423200;1423200;100;0
30793000;1423600;1423600;1423600;1423600;1;0
30831000;1423500;1423500;1423500;1423500;409;0
30881000;1423400;1423400;1423400;1423400;1;0
30929000;1423100;1423100;1423100;1423100;7;0
30965000;1423000;1423000;1423000;1423000;300;0
30970000;1422900;1422900;1422900;1422900;100;0
30973000;1423200;1423200;1423200;1423200;1000;0
31006000;1423200;1423200;1423200;1423200;87;0
31032000;1421200;1421200;1421200;1421200;6;0
31041000;1423300;1423300;1423300;1423300;1000;0
31131000;1423000;1423000;1423000;1423000;500;0
31140000;1423000;1423000;1423000;1423000;700;0
31190000;1423200;1423200;1423200;1423200;1200;0
31408000;1423300;1423300;1423300;1423300;200;0
31471000;1423400;1423400;1423400;1423400;500;0
31515000;1423000;1423000;1423000;1423000;100;0
31547000;1422900;1422900;1422900;1422900;1;0
31548000;1422800;1422800;1422800;1422800;1;0
31566000;1422900;1422900;1422900;1422900;600;0
31567000;1422900;1422900;1422900;1422900;600;0
31574000;1423000;1423000;1423000;1423000;100;0
31729000;1422800;1422800;1422800;1422800;100;0
31731000;1422700;1422700;1422700;1422700;100;0
31742000;1422800;1422800;1422800;1422800;100;0
31744000;1422800;1422800;1422800;1422800;100;0
31753000;1422600;1422700;1422600;1422700;200;0
31785000;1422600;1422600;1422600;1422600;500;0
31867000;1422500;1422500;1422500;1422500;1;0
31870000;1422500;1422500;1422500;1422500;3600;0
31876000;1422500;1422500;1422500;1422500;9;0
31927000;1422600;1422600;1422600;1422600;500;0
31937000;1422600;1422600;1422600;1422600;1500;0
31952000;1422400;1422400;1422400;1422400;1;0
31993000;1422700;1422700;1422700;1422700;5000;0
32047000;1422800;1422800;1422800;1422800;1200;0
32085000;1422900;1422900;1422900;1422900;1;0
32119000;1422900;1422900;1422900;1422900;409;0
32241000;1422900;1422900;1422900;1422900;100;0
32245000;1422900;1422900;1422900;1422900;100;0
32439000;1422700;1422700;1422700;1422700;1;0
32447000;1422500;1422500;1422500;1422500;372;0
32531000;1422600;1422600;1422600;1422600;1500;0
32538000;1422500;1422500;1422500;1422500;100;0
32711000;1422500;1422500;1422500;1422500;36;0
32718000;1421200;1421200;1421200;1421200;8;0
32743000;1422400;1422400;1422400;1422400;1;0
32753000;1422200;1422200;1422200;1422200;1;0
32789000;1422200;1422200;1422200;1422200;600;0
32836000;1422200;1422200;1422200;1422200;46;0
32889000;1422300;1422300;1422300;1422300;1000;0
32921000;1422100;1422100;1422100;1422100;2;0
32939000;1422000;1422100;1422000;1422000;3001;0
32950000;1422000;1422000;1422000;1422000;10;0
33013000;1422200;1422200;1422200;1422200;1200;0
33015000;1422300;1422300;1422300;1422300;2600;0
33041000;1422400;1422400;1422400;1422400;10;0
33057000;1422500;1422500;1422400;1422400;1000;0
33100000;1422400;1422400;1422400;1422400;2;0
33203000;1422000;1422000;1422000;1422000;3;0
33272000;1422200;1422200;1422200;1422200;10;0
33355000;1422300;1422300;1422300;1422300;100;0
33484000;1422300;1422300;1422300;1422300;50;0
33491000;1422100;1422100;1422100;1422100;36;0
33527000;1422400;1422400;1422400;1422400;1;0
33541000;1422500;1422500;1422500;1422500;250;0
33542000;1422600;1422600;1422600;1422600;500;0
33582000;1422700;1422700;1422700;1422700;1;0
33608000;1422900;1422900;1422900;1422900;1000;0
33614000;1422900;1422900;1422900;1422900;1000;0
33626000;1422800;1422900;1422800;1422900;261;0
33632000;1423000;1423000;1423000;1423000;1000;0
33635000;1423000;1423000;1423000;1423000;1;0
33665000;1422800;1422800;1422800;1422800;100;0
33670000;1422700;1422700;1422700;1422700;200;0
33686000;1422800;1422800;1422800;1422800;400;0
33696000;1422900;1422900;1422900;1422900;918;0
33697000;1422900;1422900;1422900;1422900;409;0
33709000;1423000;1423000;1423000;1423000;205;0
33756000;1422900;1422900;1422900;1422900;1000;0
33786000;1423000;1423000;1423000;1423000;1200;0
33787000;1423100;1423100;1423100;1423100;1000;0
33789000;1423100;1423100;1423100;1423100;2500;0
33790000;1423100;1423100;1423100;1423100;1000;0
33827000;1423100;1423100;1423100;1423100;1000;0
33852000;1423100;1423100;1423100;1423100;100;0
33874000;1423100;1423100;1423100;1423100;50;0
33904000;1423000;1423000;1422900;1422900;201;0
33969000;1422700;1422700;1422700;1422700;3;0
34030000;1422900;1422900;1422900;1422900;1;0
34037000;1422800;1422800;1422800;1422800;59;0
34042000;1422900;1422900;1422900;1422900;1000;0
34080000;1422800;1422800;1422600;1422700;1216;0
34087000;1422700;1422700;1422700;1422700;163;0
34105000;1422800;1422800;1422800;1422800;400;0
34118000;1422750;1422750;1422750;1422750;400;0
34124000;1422800;1422800;1422800;1422800;164;0
34142000;1422800;1422800;1422800;1422800;24;0
34158000;1422900;1422900;1422900;1422900;11;0
34176000;1422800;1422800;1422800;1422800;289;0
34183000;1422700;1422700;1422700;1422700;500;0
34185000;1422800;1422800;1422800;1422800;218;0
34186000;1422800;1422800;1422800;1422800;18;0
34199000;1422700;1422700;1422700;1422700;560;0
34200000;1422600;1422700;1422300;1422500;184019;0
34201000;1422500;1422600;1422300;1422300;8254;0
34202000;1422400;1422700;1422300;1422400;3340;0
34203000;1422300;1422400;1422300;1422300;1300;0
34204000;1422300;1422400;1422300;1422400;5038;0
34205000;1422700;1422700;1422500;1422500;4800;0
34206000;1422600;1422650;1422400;1422650;4618;0
34207000;1422600;1422700;1422505;1422700;4138;0
34208000;1422700;1422700;1422608;1422608;4456;0
34209000;1422800;1422800;1422800;1422800;2500;0
34210000;1422800;1422900;1422700;1422700;3491;0
34211000;1422800;1422800;1422600;1422611;2636;0
34212000;1422900;1422900;1422900;1422900;3;0
34213000;1422800;1422800;1422700;1422700;900;0
34214000;1422700;1422700;1422609;1422609;8;0
34215000;1422600;1422600;1422600;1422600;200;0
34216000;1422500;1422500;1422500;1422500;200;0
34217000;1422400;1422400;1422400;1422400;1200;0
34218000;1422200;1422200;1422200;1422200;300;0
34219000;1422250;1422250;1422250;1422250;5;0
34220000;1422200;1422200;1422200;1422200;1321;0
34221000;1422200;1422200;1422200;1422200;100;0
34222000;1422100;1422100;1422100;1422100;15;0
34224000;1422200;1422200;1422150;1422200;5000;0
34225000;1422150;1422150;1422150;1422150;700;0
34228000;1422100;1422100;1422100;1422100;3171;0
34230000;1422000;1422000;1422000;1422000;48;0
34231000;1422100;1422100;1422100;1422100;600;0
34234000;1422000;1422000;1422000;1422000;6960;0
34236000;1421900;1421900;1421900;1421900;534;0
34237000;1421900;1421900;1421900;1421900;1750;0
34242000;1422000;1422000;1422000;1422000;800;0
34244000;1422000;1422000;1422000;1422000;200;0
34245000;1422000;1422000;1421900;1421900;126;0
34246000;1422030;1422100;1422000;1422000;5059;0
34247000;1421930;1421930;1421930;1421930;25;0
34250000;1421850;1421850;1421850;1421850;113;0
34251000;1421855;1421855;1421855;1421855;100;0
